month,class,geometry
Jan,background,"c(-68.0637964561991, 41.9234570573749)"
Jan,background,"c(-72.2592489432118, 39.7023351524859)"
Jan,background,"c(-68.8864341987506, 42.4170397029058)"
Jan,background,"c(-67.981532681944, 41.9234570573749)"
Jan,background,"c(-67.4056862621579, 42.0879846058852)"
Jan,background,"c(-69.2154892957712, 41.429874411844)"
Jan,background,"c(-67.3234224879028, 42.4170397029058)"
Jan,background,"c(-69.626808167047, 42.6638310256713)"
Jan,background,"c(-66.7475760681167, 42.2525121543955)"
Jan,background,"c(-68.3928515532197, 41.5944019603543)"
Jan,background,"c(-69.7913357155573, 41.8411932831198)"
Jan,background,"c(-72.5060402659773, 39.3732800554653)"
Jan,background,"c(-72.4237764917221, 39.5378076039756)"
Jan,background,"c(-66.1717296483306, 42.1702483801404)"
Jan,background,"c(-72.5883040402324, 40.6072366692925)"
Jan,background,"c(-70.2849183610882, 41.9234570573749)"
Jan,background,"c(-68.8864341987506, 40.6072366692925)"
Jan,background,"c(-65.4313556800343, 41.9234570573749)"
Jan,background,"c(-68.2283240047094, 43.568732542478)"
Jan,background,"c(-72.2592489432118, 39.3732800554653)"
Jan,background,"c(-72.5060402659773, 39.6200713782307)"
Jan,background,"c(-69.626808167047, 42.499303477161)"
Jan,background,"c(-69.5445443927918, 43.2396774454574)"
Jan,background,"c(-71.6834025234258, 40.2781815722719)"
Jan,background,"c(-72.341512717467, 39.784598926741)"
Jan,background,"c(-68.8041704244955, 42.3347759286507)"
Jan,background,"c(-70.8607647808742, 39.7023351524859)"
Jan,background,"c(-68.6396428759852, 43.3219412197125)"
Jan,background,"c(-68.8864341987506, 41.9234570573749)"
Jan,background,"c(-69.0509617472609, 41.1830830890786)"
Jan,background,"c(-71.9301938461912, 39.6200713782307)"
Jan,background,"c(-71.0252923293846, 39.6200713782307)"
Jan,background,"c(-69.5445443927918, 42.0057208316301)"
Jan,background,"c(-66.1717296483306, 44.8849529305604)"
Jan,background,"c(-69.5445443927918, 41.9234570573749)"
Jan,background,"c(-69.9558632640676, 42.3347759286507)"
